,0,1,2,3,4,5,6,7,8,9
24,45.0,-1.0,87.0,-2.0,44.0,-4.0,43.0,43.0,0.0,1.0
25,37.0,4.0,80.0,0.0,-2.0,0.0,43.0,83.0,40.0,1.0
26,55.0,-1.0,98.0,0.0,52.0,8.0,42.0,46.0,4.0,4.0
27,55.0,0.0,86.0,8.0,54.0,0.0,31.0,32.0,0.0,1.0
28,55.0,3.0,88.0,3.0,54.0,0.0,32.0,33.0,2.0,1.0
29,37.0,0.0,74.0,0.0,26.0,-1.0,38.0,48.0,10.0,1.0
30,37.0,0.0,106.0,0.0,36.0,3.0,68.0,69.0,2.0,1.0
31,49.0,0.0,107.0,0.0,46.0,-16.0,58.0,60.0,2.0,1.0
32,79.0,5.0,83.0,0.0,-46.0,0.0,4.0,130.0,126.0,5.0
33,51.0,0.0,79.0,0.0,52.0,29.0,28.0,27.0,0.0,1.0
34,59.0,4.0,84.0,0.0,60.0,24.0,25.0,24.0,0.0,1.0
35,37.0,0.0,108.0,0.0,30.0,-21.0,71.0,77.0,6.0,1.0
36,56.0,3.0,97.0,0.0,46.0,9.0,41.0,51.0,10.0,4.0
37,39.0,5.0,77.0,0.0,38.0,0.0,37.0,38.0,0.0,1.0
38,51.0,-5.0,81.0,0.0,52.0,0.0,30.0,30.0,0.0,1.0
39,49.0,0.0,77.0,0.0,46.0,-9.0,29.0,31.0,2.0,1.0
40,46.0,2.0,77.0,0.0,44.0,-19.0,32.0,34.0,2.0,1.0
41,56.0,0.0,81.0,0.0,56.0,0.0,24.0,24.0,0.0,1.0
42,56.0,0.0,79.0,0.0,16.0,3.0,23.0,63.0,40.0,4.0
43,37.0,0.0,105.0,0.0,34.0,4.0,68.0,71.0,4.0,1.0
44,76.0,0.0,81.0,-2.0,-40.0,13.0,5.0,122.0,118.0,5.0
45,56.0,0.0,80.0,0.0,56.0,7.0,24.0,23.0,0.0,1.0
46,41.0,2.0,76.0,0.0,42.0,11.0,35.0,35.0,0.0,1.0
47,41.0,1.0,85.0,0.0,38.0,0.0,44.0,46.0,2.0,1.0
48,56.0,-4.0,97.0,0.0,52.0,-2.0,41.0,45.0,4.0,4.0
49,49.0,0.0,95.0,1.0,50.0,2.0,46.0,46.0,0.0,1.0
50,37.0,2.0,76.0,0.0,36.0,0.0,38.0,39.0,2.0,1.0
51,56.0,1.0,99.0,0.0,50.0,16.0,42.0,49.0,8.0,4.0
52,56.0,-4.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,1.0
53,37.0,-3.0,81.0,-2.0,38.0,-9.0,43.0,42.0,0.0,1.0
54,47.0,0.0,84.0,4.0,46.0,0.0,38.0,38.0,0.0,1.0
55,41.0,1.0,86.0,2.0,42.0,14.0,45.0,45.0,0.0,1.0
56,53.0,3.0,81.0,0.0,54.0,0.0,27.0,26.0,0.0,1.0
57,47.0,5.0,79.0,0.0,46.0,0.0,32.0,32.0,0.0,1.0
58,104.0,7.0,105.0,7.0,70.0,0.0,1.0,35.0,34.0,5.0
59,101.0,-3.0,102.0,-4.0,72.0,0.0,1.0,29.0,28.0,5.0
60,45.0,0.0,86.0,0.0,44.0,-17.0,41.0,42.0,2.0,1.0
61,42.0,4.0,77.0,0.0,42.0,1.0,35.0,35.0,0.0,1.0
62,45.0,0.0,79.0,0.0,44.0,-4.0,34.0,35.0,2.0,1.0
63,37.0,0.0,80.0,0.0,36.0,15.0,43.0,44.0,2.0,1.0
64,56.0,0.0,96.0,-1.0,44.0,0.0,40.0,52.0,12.0,4.0
65,56.0,0.0,81.0,0.0,-10.0,-3.0,25.0,92.0,66.0,4.0
66,42.0,0.0,83.0,2.0,42.0,0.0,41.0,42.0,2.0,1.0
67,51.0,1.0,88.0,0.0,52.0,7.0,37.0,37.0,0.0,1.0
68,49.0,3.0,82.0,0.0,46.0,-8.0,33.0,35.0,2.0,1.0
69,41.0,1.0,86.0,3.0,42.0,6.0,45.0,45.0,0.0,1.0
70,37.0,0.0,77.0,0.0,336.0,4910.0,41.0,-258.0,-298.0,1.0
71,49.0,0.0,84.0,0.0,46.0,-4.0,36.0,38.0,2.0,1.0
72,37.0,-1.0,77.0,-3.0,34.0,-6.0,40.0,43.0,2.0,1.0
73,41.0,0.0,79.0,0.0,38.0,-23.0,38.0,41.0,2.0,1.0
74,51.0,0.0,79.0,0.0,52.0,2.0,27.0,27.0,0.0,1.0
75,55.0,-1.0,79.0,-4.0,20.0,-12.0,24.0,59.0,34.0,4.0
76,41.0,0.0,77.0,0.0,42.0,5.0,37.0,36.0,0.0,1.0
77,46.0,-3.0,80.0,0.0,46.0,0.0,34.0,34.0,0.0,1.0
78,56.0,0.0,79.0,0.0,-2.0,-24.0,24.0,82.0,58.0,4.0
79,44.0,0.0,82.0,-1.0,44.0,0.0,38.0,38.0,0.0,1.0
80,45.0,0.0,83.0,0.0,46.0,31.0,37.0,36.0,0.0,1.0
81,37.0,0.0,77.0,-1.0,36.0,4.0,40.0,41.0,0.0,1.0
82,37.0,0.0,75.0,-1.0,36.0,0.0,38.0,39.0,0.0,1.0
83,37.0,1.0,77.0,-2.0,34.0,0.0,40.0,43.0,2.0,1.0
84,51.0,0.0,79.0,0.0,50.0,-6.0,28.0,30.0,2.0,1.0
85,46.0,-4.0,76.0,-1.0,46.0,0.0,29.0,29.0,0.0,1.0
86,49.0,0.0,77.0,5.0,50.0,5.0,28.0,28.0,0.0,1.0
87,45.0,0.0,108.0,0.0,44.0,-3.0,62.0,64.0,2.0,1.0
88,42.0,0.0,79.0,-2.0,42.0,0.0,36.0,37.0,2.0,1.0
89,37.0,0.0,78.0,0.0,20.0,-10.0,41.0,57.0,16.0,1.0
90,37.0,0.0,76.0,-3.0,36.0,-10.0,39.0,40.0,2.0,1.0
91,53.0,5.0,84.0,0.0,52.0,-5.0,31.0,32.0,2.0,1.0
92,38.0,4.0,76.0,0.0,38.0,4.0,38.0,37.0,0.0,1.0
93,40.0,0.0,80.0,0.0,38.0,-2.0,40.0,41.0,2.0,1.0
94,47.0,2.0,95.0,3.0,46.0,0.0,48.0,49.0,0.0,1.0
95,45.0,0.0,79.0,5.0,44.0,0.0,34.0,35.0,2.0,1.0
96,41.0,-1.0,86.0,0.0,42.0,0.0,45.0,45.0,0.0,1.0
97,55.0,0.0,95.0,0.0,36.0,13.0,40.0,59.0,20.0,4.0
98,56.0,0.0,95.0,0.0,56.0,15.0,40.0,39.0,0.0,1.0
99,51.0,-3.0,83.0,0.0,50.0,-14.0,32.0,33.0,2.0,1.0
100,37.0,0.0,75.0,0.0,34.0,10.0,38.0,41.0,2.0,1.0
101,37.0,0.0,75.0,0.0,28.0,16.0,38.0,46.0,8.0,1.0
102,81.0,-2.0,84.0,0.0,-18.0,-30.0,4.0,103.0,98.0,5.0
103,43.0,0.0,95.0,-4.0,42.0,-4.0,52.0,54.0,2.0,1.0
104,41.0,0.0,84.0,2.0,42.0,25.0,43.0,43.0,0.0,1.0
105,49.0,0.0,87.0,-7.0,46.0,-25.0,38.0,41.0,2.0,1.0
106,49.0,0.0,83.0,0.0,46.0,-14.0,34.0,37.0,2.0,1.0
107,37.0,-3.0,77.0,0.0,20.0,0.0,40.0,56.0,16.0,1.0
108,81.0,0.0,84.0,0.0,-12.0,29.0,4.0,97.0,94.0,5.0
109,55.0,1.0,84.0,0.0,54.0,-1.0,29.0,30.0,2.0,1.0
110,55.0,0.0,96.0,0.0,46.0,23.0,41.0,50.0,8.0,4.0
111,42.0,0.0,81.0,-2.0,42.0,-4.0,39.0,39.0,0.0,1.0
112,79.0,0.0,83.0,0.0,-40.0,3.0,4.0,125.0,120.0,5.0
113,59.0,-5.0,84.0,0.0,60.0,6.0,25.0,24.0,0.0,1.0
114,56.0,-3.0,87.0,0.0,56.0,0.0,31.0,30.0,0.0,1.0
115,55.0,0.0,82.0,1.0,-10.0,0.0,26.0,92.0,66.0,4.0
116,56.0,0.0,92.0,0.0,-2.0,-4.0,36.0,95.0,58.0,4.0
117,46.0,0.0,80.0,0.0,46.0,0.0,34.0,34.0,0.0,1.0
118,56.0,0.0,78.0,0.0,8.0,-19.0,22.0,70.0,48.0,4.0
119,37.0,0.0,83.0,0.0,34.0,7.0,47.0,50.0,2.0,1.0
120,37.0,0.0,77.0,0.0,2.0,17.0,40.0,74.0,34.0,1.0
121,53.0,-1.0,87.0,-5.0,52.0,-10.0,34.0,35.0,2.0,1.0
122,37.0,-1.0,79.0,-4.0,36.0,-6.0,42.0,43.0,2.0,1.0
123,44.0,-1.0,82.0,-4.0,44.0,0.0,38.0,38.0,0.0,1.0
124,48.0,-3.0,95.0,0.0,46.0,-4.0,47.0,49.0,2.0,1.0
125,42.0,5.0,79.0,5.0,42.0,0.0,37.0,38.0,0.0,1.0
126,37.0,0.0,106.0,-1.0,34.0,0.0,68.0,72.0,4.0,1.0
127,37.0,0.0,81.0,5.0,36.0,-3.0,43.0,44.0,2.0,1.0
128,44.0,-4.0,82.0,-3.0,44.0,0.0,38.0,38.0,0.0,1.0
129,45.0,0.0,83.0,0.0,46.0,19.0,38.0,37.0,0.0,1.0
130,55.0,2.0,83.0,-2.0,54.0,0.0,28.0,29.0,0.0,1.0
131,55.0,0.0,77.0,0.0,-14.0,-4.0,21.0,92.0,70.0,4.0
132,41.0,3.0,78.0,0.0,38.0,-1.0,37.0,39.0,2.0,1.0
133,37.0,0.0,78.0,-5.0,8.0,0.0,41.0,70.0,30.0,1.0
134,57.0,3.0,91.0,0.0,56.0,0.0,34.0,34.0,0.0,1.0
135,37.0,0.0,76.0,0.0,38.0,14.0,38.0,37.0,0.0,1.0
136,37.0,0.0,77.0,0.0,8.0,-8.0,41.0,70.0,28.0,1.0
137,37.0,0.0,76.0,-5.0,28.0,6.0,39.0,47.0,8.0,1.0
138,49.0,4.0,84.0,0.0,50.0,2.0,35.0,35.0,0.0,1.0
139,37.0,0.0,77.0,5.0,-12.0,-10.0,41.0,90.0,50.0,1.0
140,50.0,-4.0,85.0,0.0,50.0,0.0,35.0,36.0,2.0,1.0
141,51.0,-2.0,87.0,0.0,52.0,5.0,36.0,35.0,0.0,1.0
142,37.0,0.0,93.0,0.0,12.0,7.0,56.0,81.0,24.0,1.0
143,56.0,0.0,82.0,1.0,54.0,-12.0,26.0,28.0,2.0,1.0
144,43.0,0.0,81.0,3.0,42.0,-4.0,38.0,40.0,2.0,1.0
145,55.0,-2.0,108.0,0.0,54.0,-3.0,52.0,53.0,2.0,1.0
146,37.0,0.0,81.0,-1.0,36.0,-18.0,43.0,44.0,2.0,1.0
147,45.0,-1.0,78.0,-3.0,44.0,-5.0,33.0,34.0,2.0,1.0
148,41.0,0.0,77.0,7.0,38.0,0.0,36.0,38.0,2.0,1.0
149,48.0,1.0,87.0,0.0,46.0,0.0,39.0,41.0,2.0,1.0
150,43.0,0.0,81.0,0.0,44.0,15.0,37.0,37.0,0.0,1.0
151,56.0,0.0,96.0,0.0,52.0,-3.0,40.0,44.0,4.0,4.0
152,37.0,0.0,92.0,0.0,24.0,3.0,55.0,69.0,14.0,1.0
153,46.0,1.0,83.0,0.0,44.0,-9.0,37.0,39.0,2.0,1.0
154,49.0,-2.0,77.0,3.0,46.0,-30.0,28.0,30.0,2.0,1.0
155,45.0,0.0,83.0,0.0,44.0,2.0,38.0,39.0,0.0,1.0
156,56.0,0.0,81.0,0.0,-20.0,-4.0,25.0,102.0,76.0,4.0
157,48.0,-3.0,109.0,-6.0,46.0,0.0,61.0,62.0,2.0,1.0
158,37.0,0.0,83.0,0.0,34.0,5.0,46.0,49.0,4.0,1.0
159,50.0,-4.0,83.0,0.0,50.0,0.0,33.0,34.0,2.0,1.0
160,47.0,-2.0,75.0,0.0,46.0,0.0,28.0,28.0,0.0,1.0
161,48.0,1.0,81.0,-1.0,46.0,0.0,33.0,34.0,2.0,1.0
162,55.0,0.0,82.0,0.0,-42.0,-9.0,26.0,126.0,100.0,4.0
163,50.0,3.0,107.0,0.0,50.0,0.0,57.0,58.0,0.0,1.0
164,38.0,0.0,102.0,-4.0,34.0,0.0,65.0,69.0,4.0,1.0
165,37.0,0.0,106.0,17.0,28.0,0.0,69.0,77.0,8.0,1.0
166,37.0,0.0,77.0,0.0,-6.0,-19.0,41.0,85.0,44.0,1.0
167,37.0,0.0,79.0,0.0,26.0,-22.0,42.0,53.0,12.0,1.0
168,43.0,0.0,84.0,0.0,44.0,13.0,41.0,41.0,0.0,1.0
169,36.0,-1.0,81.0,0.0,36.0,0.0,45.0,45.0,0.0,1.0
170,45.0,1.0,80.0,0.0,46.0,31.0,35.0,34.0,0.0,1.0
171,55.0,0.0,78.0,0.0,0.0,-3.0,23.0,78.0,56.0,4.0
172,58.0,5.0,88.0,0.0,56.0,0.0,30.0,31.0,2.0,1.0
173,48.0,0.0,88.0,-4.0,46.0,0.0,40.0,41.0,2.0,1.0
174,105.0,-1.0,106.0,2.0,70.0,0.0,2.0,36.0,34.0,5.0
175,54.0,-1.0,86.0,-1.0,54.0,-2.0,32.0,32.0,0.0,1.0
176,56.0,4.0,96.0,0.0,52.0,10.0,40.0,44.0,4.0,4.0
177,79.0,2.0,83.0,0.0,-42.0,-19.0,4.0,126.0,122.0,5.0
178,37.0,0.0,97.0,0.0,24.0,-30.0,60.0,73.0,14.0,1.0
179,46.0,-3.0,109.0,2.0,46.0,0.0,63.0,63.0,0.0,1.0
180,37.0,0.0,78.0,0.0,16.0,-11.0,42.0,63.0,22.0,1.0
181,37.0,0.0,78.0,0.0,12.0,-10.0,41.0,65.0,24.0,1.0
182,56.0,0.0,78.0,5.0,-22.0,0.0,22.0,101.0,80.0,4.0
183,55.0,0.0,83.0,5.0,-24.0,0.0,27.0,108.0,82.0,4.0
184,54.0,2.0,80.0,0.0,54.0,0.0,26.0,26.0,0.0,1.0
185,55.0,0.0,77.0,-2.0,28.0,0.0,21.0,48.0,28.0,4.0
186,37.0,0.0,104.0,-9.0,28.0,0.0,67.0,75.0,8.0,1.0
187,55.0,-1.0,79.0,0.0,16.0,0.0,23.0,63.0,40.0,4.0
188,43.0,-3.0,86.0,0.0,42.0,-16.0,42.0,44.0,2.0,1.0
189,41.0,-1.0,89.0,0.0,38.0,-14.0,48.0,50.0,2.0,1.0
190,39.0,0.0,107.0,-2.0,38.0,0.0,68.0,68.0,0.0,1.0
191,46.0,0.0,107.0,0.0,46.0,4.0,61.0,60.0,0.0,1.0
192,37.0,4.0,76.0,0.0,34.0,-10.0,39.0,43.0,4.0,1.0
193,44.0,1.0,76.0,0.0,44.0,8.0,32.0,32.0,0.0,1.0
194,53.0,0.0,79.0,0.0,54.0,14.0,26.0,24.0,0.0,1.0
195,44.0,0.0,81.0,-1.0,44.0,5.0,37.0,37.0,0.0,1.0
196,56.0,3.0,99.0,0.0,38.0,0.0,43.0,60.0,18.0,4.0
197,56.0,0.0,93.0,-7.0,50.0,0.0,37.0,44.0,6.0,4.0
198,37.0,0.0,75.0,-2.0,34.0,0.0,38.0,41.0,2.0,1.0
199,52.0,4.0,84.0,-1.0,52.0,-2.0,31.0,32.0,0.0,1.0
200,80.0,0.0,85.0,6.0,-40.0,10.0,5.0,126.0,122.0,5.0
201,37.0,0.0,76.0,0.0,36.0,4.0,39.0,40.0,2.0,1.0
202,55.0,0.0,92.0,0.0,-4.0,22.0,36.0,97.0,60.0,4.0
203,44.0,2.0,75.0,0.0,44.0,11.0,31.0,31.0,0.0,1.0
204,43.0,-5.0,83.0,0.0,42.0,-9.0,39.0,41.0,2.0,1.0
205,41.0,-1.0,76.0,0.0,38.0,-24.0,35.0,37.0,2.0,1.0
206,45.0,0.0,86.0,0.0,44.0,-10.0,41.0,42.0,2.0,1.0
207,55.0,0.0,77.0,0.0,6.0,-11.0,22.0,72.0,50.0,4.0
208,67.0,-2.0,110.0,0.0,68.0,0.0,43.0,43.0,0.0,1.0
209,37.0,-67.0,106.0,0.0,36.0,31.0,69.0,69.0,0.0,1.0
210,56.0,0.0,108.0,0.0,54.0,-14.0,52.0,53.0,2.0,1.0
211,42.0,0.0,86.0,-3.0,42.0,0.0,44.0,44.0,0.0,1.0
212,56.0,0.0,84.0,0.0,54.0,-19.0,28.0,30.0,2.0,1.0
213,38.0,2.0,80.0,0.0,38.0,4.0,42.0,41.0,0.0,1.0
214,45.0,0.0,86.0,0.0,44.0,-3.0,41.0,42.0,2.0,1.0
215,44.0,0.0,83.0,-1.0,44.0,0.0,38.0,39.0,0.0,1.0
216,45.0,-2.0,83.0,0.0,44.0,-7.0,37.0,39.0,2.0,1.0
217,53.0,-1.0,88.0,0.0,54.0,4.0,35.0,34.0,0.0,1.0
218,51.0,0.0,83.0,0.0,52.0,19.0,31.0,31.0,0.0,1.0
219,41.0,0.0,81.0,0.0,38.0,-3.0,41.0,43.0,2.0,1.0
220,46.0,0.0,88.0,0.0,46.0,0.0,41.0,41.0,0.0,1.0
221,43.0,0.0,77.0,0.0,42.0,0.0,34.0,36.0,2.0,1.0
222,45.0,2.0,76.0,-3.0,44.0,-5.0,31.0,32.0,0.0,1.0
223,41.0,1.0,97.0,0.0,42.0,4.0,55.0,55.0,0.0,1.0
224,37.0,0.0,81.0,2.0,26.0,0.0,44.0,55.0,10.0,1.0
225,83.0,0.0,86.0,0.0,-4.0,0.0,3.0,92.0,88.0,5.0
226,56.0,0.0,81.0,4.0,-22.0,0.0,25.0,104.0,80.0,4.0
227,43.0,0.0,87.0,0.0,42.0,-6.0,44.0,46.0,2.0,1.0
228,56.0,4.0,98.0,-4.0,42.0,0.0,42.0,57.0,14.0,4.0
229,46.0,2.0,78.0,0.0,46.0,9.0,32.0,32.0,0.0,1.0
230,37.0,0.0,79.0,0.0,26.0,-4.0,42.0,53.0,12.0,1.0
231,43.0,-1.0,83.0,0.0,42.0,-6.0,39.0,41.0,2.0,1.0
232,37.0,0.0,83.0,1.0,24.0,0.0,46.0,59.0,14.0,1.0
233,55.0,0.0,95.0,-2.0,50.0,0.0,40.0,46.0,6.0,4.0
234,56.0,3.0,89.0,0.0,56.0,0.0,33.0,32.0,0.0,1.0
235,37.0,0.0,78.0,0.0,0.0,-11.0,42.0,78.0,36.0,1.0
236,48.0,1.0,87.0,-6.0,46.0,-4.0,39.0,41.0,2.0,1.0
237,37.0,0.0,90.0,0.0,30.0,9.0,53.0,59.0,6.0,1.0
238,55.0,0.0,96.0,0.0,46.0,9.0,41.0,50.0,8.0,4.0
239,51.0,-3.0,84.0,4.0,52.0,1.0,33.0,32.0,0.0,1.0
240,37.0,0.0,78.0,0.0,12.0,11.0,41.0,65.0,24.0,1.0
241,37.0,0.0,97.0,-6.0,34.0,0.0,59.0,63.0,4.0,1.0
242,45.0,-1.0,77.0,2.0,44.0,0.0,32.0,33.0,0.0,1.0
243,49.0,0.0,84.0,0.0,50.0,18.0,35.0,35.0,0.0,1.0
244,53.0,0.0,81.0,4.0,52.0,-22.0,28.0,29.0,2.0,1.0
245,37.0,2.0,90.0,0.0,28.0,0.0,53.0,62.0,8.0,1.0
246,37.0,0.0,77.0,1.0,36.0,0.0,41.0,41.0,0.0,1.0
247,70.0,57.0,82.0,0.0,-42.0,-4.0,12.0,126.0,114.0,2.0
248,61.0,-2.0,111.0,0.0,60.0,0.0,50.0,52.0,2.0,1.0
249,59.0,0.0,86.0,0.0,60.0,21.0,28.0,27.0,0.0,1.0
250,49.0,0.0,95.0,3.0,50.0,4.0,46.0,46.0,0.0,1.0
251,45.0,2.0,86.0,6.0,44.0,0.0,41.0,42.0,2.0,1.0
252,45.0,0.0,79.0,0.0,46.0,6.0,33.0,32.0,0.0,1.0
253,56.0,0.0,78.0,0.0,44.0,1.0,22.0,34.0,12.0,4.0
254,55.0,-3.0,96.0,0.0,54.0,-3.0,41.0,42.0,2.0,1.0
255,49.0,0.0,78.0,0.0,50.0,3.0,29.0,29.0,0.0,1.0
256,39.0,3.0,77.0,0.0,38.0,0.0,38.0,38.0,0.0,1.0
257,55.0,-1.0,79.0,-8.0,20.0,-13.0,23.0,58.0,34.0,4.0
258,56.0,0.0,86.0,0.0,56.0,15.0,31.0,30.0,0.0,1.0
259,37.0,0.0,81.0,0.0,18.0,-26.0,44.0,63.0,18.0,1.0
260,41.0,0.0,82.0,-2.0,38.0,-3.0,41.0,43.0,2.0,1.0
261,45.0,-3.0,88.0,0.0,44.0,0.0,44.0,44.0,0.0,1.0
262,37.0,0.0,83.0,0.0,8.0,24.0,46.0,75.0,30.0,1.0
263,43.0,0.0,77.0,0.0,42.0,-8.0,34.0,36.0,2.0,1.0
264,84.0,6.0,89.0,0.0,6.0,-6.0,5.0,84.0,78.0,5.0
265,37.0,0.0,79.0,-1.0,6.0,-23.0,43.0,74.0,32.0,1.0
266,37.0,0.0,81.0,0.0,38.0,7.0,43.0,42.0,0.0,1.0
267,43.0,0.0,77.0,0.0,42.0,-19.0,34.0,35.0,2.0,1.0
268,56.0,-1.0,98.0,4.0,50.0,23.0,42.0,49.0,6.0,4.0
269,50.0,1.0,78.0,-2.0,50.0,0.0,28.0,29.0,2.0,1.0
270,39.0,3.0,86.0,0.0,38.0,0.0,48.0,48.0,0.0,1.0
271,43.0,0.0,81.0,0.0,42.0,-10.0,37.0,39.0,2.0,1.0
272,37.0,0.0,79.0,0.0,36.0,9.0,42.0,43.0,2.0,1.0
273,58.0,-4.0,91.0,0.0,56.0,0.0,33.0,34.0,0.0,1.0
274,45.0,0.0,93.0,2.0,44.0,0.0,49.0,50.0,0.0,1.0
275,38.0,3.0,76.0,0.0,38.0,8.0,38.0,37.0,0.0,1.0
276,37.0,0.0,79.0,-3.0,36.0,-1.0,41.0,43.0,2.0,1.0
277,79.0,6.0,83.0,1.0,-40.0,13.0,4.0,124.0,120.0,5.0
278,36.0,-1.0,76.0,0.0,36.0,0.0,39.0,39.0,0.0,1.0
279,85.0,-3.0,88.0,0.0,2.0,-25.0,3.0,86.0,82.0,5.0
280,37.0,3.0,77.0,0.0,36.0,0.0,41.0,41.0,0.0,1.0
281,37.0,0.0,77.0,0.0,26.0,-19.0,41.0,52.0,10.0,1.0
282,45.0,0.0,79.0,0.0,46.0,14.0,34.0,33.0,0.0,1.0
283,54.0,4.0,77.0,0.0,28.0,0.0,23.0,48.0,26.0,4.0
284,43.0,-5.0,77.0,0.0,44.0,19.0,34.0,33.0,0.0,1.0
285,41.0,0.0,83.0,2.0,38.0,-1.0,42.0,44.0,2.0,1.0
286,43.0,0.0,77.0,10.0,42.0,-34.0,34.0,36.0,2.0,1.0
287,56.0,2.0,81.0,4.0,-4.0,0.0,25.0,86.0,62.0,4.0
288,55.0,0.0,82.0,0.0,-32.0,9.0,26.0,115.0,90.0,4.0
289,37.0,0.0,103.0,0.0,24.0,16.0,66.0,80.0,14.0,1.0
290,50.0,1.0,90.0,3.0,50.0,0.0,39.0,41.0,2.0,1.0
291,45.0,0.0,84.0,8.0,44.0,-8.0,39.0,41.0,2.0,1.0
292,48.0,0.0,89.0,4.0,46.0,-7.0,41.0,42.0,2.0,1.0
293,85.0,0.0,88.0,-3.0,6.0,0.0,3.0,83.0,80.0,5.0
294,47.0,-2.0,106.0,0.0,46.0,0.0,59.0,60.0,0.0,1.0
295,37.0,-6.0,78.0,0.0,10.0,0.0,42.0,68.0,26.0,1.0
296,37.0,-38.0,106.0,-104.0,30.0,-17.0,69.0,75.0,6.0,3.0
297,58.0,0.0,91.0,2.0,56.0,0.0,33.0,34.0,2.0,1.0
298,46.0,0.0,78.0,-7.0,46.0,5.0,32.0,32.0,0.0,1.0
299,55.0,0.0,95.0,-2.0,50.0,-10.0,40.0,46.0,6.0,4.0
300,56.0,0.0,82.0,0.0,56.0,10.0,26.0,25.0,0.0,1.0
301,55.0,0.0,92.0,0.0,46.0,-3.0,37.0,46.0,8.0,4.0
302,39.0,-2.0,86.0,0.0,38.0,0.0,46.0,47.0,0.0,1.0
303,51.0,2.0,81.0,-5.0,50.0,0.0,30.0,32.0,2.0,1.0
304,37.0,0.0,75.0,0.0,20.0,11.0,38.0,54.0,16.0,1.0
305,41.0,-2.0,80.0,0.0,38.0,-20.0,39.0,41.0,2.0,1.0
306,53.0,0.0,86.0,0.0,52.0,-10.0,33.0,34.0,2.0,1.0
307,46.0,2.0,88.0,0.0,46.0,3.0,42.0,41.0,0.0,1.0
308,37.0,0.0,78.0,0.0,6.0,-4.0,41.0,73.0,32.0,1.0
309,44.0,0.0,79.0,-2.0,44.0,0.0,35.0,35.0,0.0,1.0
310,38.0,-3.0,76.0,0.0,38.0,0.0,38.0,37.0,0.0,1.0
311,52.0,4.0,91.0,0.0,52.0,0.0,38.0,39.0,0.0,1.0
312,37.0,0.0,93.0,0.0,16.0,4.0,55.0,77.0,22.0,1.0
313,56.0,0.0,77.0,0.0,-22.0,23.0,21.0,100.0,80.0,4.0
314,44.0,4.0,82.0,-7.0,44.0,1.0,38.0,38.0,0.0,1.0
315,37.0,0.0,79.0,-4.0,24.0,0.0,42.0,55.0,14.0,1.0
316,46.0,0.0,87.0,-7.0,46.0,0.0,41.0,41.0,0.0,1.0
317,52.0,-3.0,86.0,0.0,52.0,-4.0,33.0,34.0,0.0,1.0
318,41.0,0.0,79.0,0.0,38.0,0.0,39.0,41.0,2.0,1.0
319,56.0,0.0,80.0,0.0,54.0,-15.0,24.0,26.0,2.0,1.0
320,82.0,1.0,86.0,0.0,-6.0,0.0,3.0,94.0,90.0,5.0
321,60.0,-5.0,111.0,0.0,60.0,0.0,50.0,51.0,2.0,1.0
322,44.0,1.0,88.0,0.0,44.0,4.0,44.0,44.0,0.0,1.0
323,46.0,1.0,87.0,0.0,46.0,7.0,41.0,41.0,0.0,1.0
324,52.0,-3.0,88.0,0.0,52.0,0.0,35.0,36.0,0.0,1.0
